Game Name,Metacritic Score,Game URL
The Swapper,92,https://www.metacritic.com/game/xbox-one/the-swapper
Unreal Tournament (1999),92,https://www.metacritic.com/game/pc/unreal-tournament-1999
Super Smash Bros. for Wii U,92,https://www.metacritic.com/game/wii-u/super-smash-bros-for-wii-u
Prune,92,https://www.metacritic.com/game/ios/prune
Neon Chrome,92,https://www.metacritic.com/game/ios/neon-chrome
Rock Band,92,https://www.metacritic.com/game/playstation-3/rock-band
Journey,92,https://www.metacritic.com/game/playstation-3/journey
Conker's Bad Fur Day,92,https://www.metacritic.com/game/nintendo-64/conkers-bad-fur-day
Medal of Honor,92,https://www.metacritic.com/game/playstation/medal-of-honor
Rock Band 2,92,https://www.metacritic.com/game/xbox-360/rock-band-2
DEVICE 6,92,https://www.metacritic.com/game/ios/device-6
Rayman Origins,92,https://www.metacritic.com/game/wii/rayman-origins
Metroid Prime 2: Echoes,92,https://www.metacritic.com/game/gamecube/metroid-prime-2-echoes
Rayman Legends,92,https://www.metacritic.com/game/wii-u/rayman-legends
Mikey Shorts,92,https://www.metacritic.com/game/ios/mikey-shorts
Warbits,92,https://www.metacritic.com/game/ios/warbits
Super Street Fighter IV,91,https://www.metacritic.com/game/xbox-360/super-street-fighter-iv
Dark Nebula - Episode Two,91,https://www.metacritic.com/game/ios/dark-nebula---episode-two
Attack the Light - Steven Universe Light RPG,91,https://www.metacritic.com/game/ios/attack-the-light---steven-universe-light-rpg
Pac-Man Championship Edition DX,91,https://www.metacritic.com/game/playstation-3/pac-man-championship-edition-dx
SoulCalibur,98,https://www.metacritic.com/game/dreamcast/soulcalibur
Super Mario Galaxy,97,https://www.metacritic.com/game/wii/super-mario-galaxy
Super Mario Galaxy 2,97,https://www.metacritic.com/game/wii/super-mario-galaxy-2
Perfect Dark,97,https://www.metacritic.com/game/nintendo-64/perfect-dark
Metroid Prime,97,https://www.metacritic.com/game/gamecube/metroid-prime
Super Mario Odyssey,97,https://www.metacritic.com/game/switch/super-mario-odyssey
Halo: Combat Evolved,97,https://www.metacritic.com/game/xbox/halo-combat-evolved
Half-Life 2,96,https://www.metacritic.com/game/pc/half-life-2
BioShock,96,https://www.metacritic.com/game/xbox-360/bioshock
GoldenEye 007,96,https://www.metacritic.com/game/nintendo-64/goldeneye-007
World of Goo,96,https://www.metacritic.com/game/ios/world-of-goo
The Orange Box,96,https://www.metacritic.com/game/xbox-360/the-orange-box
The Orange Box,96,https://www.metacritic.com/game/pc/the-orange-box
Tekken 3,96,https://www.metacritic.com/game/playstation/tekken-3
Super QuickHook,96,https://www.metacritic.com/game/ios/super-quickhook
Half-Life,96,https://www.metacritic.com/game/pc/half-life
BioShock,96,https://www.metacritic.com/game/pc/bioshock
LittleBigPlanet,95,https://www.metacritic.com/game/playstation-3/littlebigplanet
Red Dead Redemption,95,https://www.metacritic.com/game/playstation-3/red-dead-redemption
Halo 2,95,https://www.metacritic.com/game/xbox/halo-2
Portal 2,95,https://www.metacritic.com/game/pc/portal-2
VVVVVV,95,https://www.metacritic.com/game/ios/vvvvvv
Red Dead Redemption,95,https://www.metacritic.com/game/xbox-360/red-dead-redemption
Super Stickman Golf 3,95,https://www.metacritic.com/game/ios/super-stickman-golf-3
Portal 2,95,https://www.metacritic.com/game/xbox-360/portal-2
Portal 2,95,https://www.metacritic.com/game/playstation-3/portal-2
World of Goo,94,https://www.metacritic.com/game/wii/world-of-goo
