game_id,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
256,TimeShift™,7/23/09,1,Saber Interactive,Activision,windows,0,Single-player;Multi-player,Action,Action;FPS;Time Manipulation,0,623,159,0,0,100000-200000,9.99
257,3D Ultra™ Minigolf Adventures,7/23/09,1,Wanako Games,Activision,windows,0,Single-player,Sports,Sports;Mini Golf;Golf,0,50,28,0,0,0-20000,6.99
258,Prototype™,6/12/09,1,Radical Entertainment,Activision,windows,0,Single-player,Action;Adventure,Action;Open World;Adventure,0,3702,904,645,1001,500000-1000000,14.99
259,Call of Duty®: Modern Warfare® 2,11/11/09,1,Infinity Ward;Aspyr (Mac),Activision;Aspyr (Mac),windows;mac,0,Single-player;Multi-player;Co-op;Steam Achievements;Steam Cloud;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,50,30006,2826,999,580,5000000-10000000,19.99
260,Postal III,2/17/12,1,Trashmasters,Akella,windows,18,Single-player;Steam Achievements,Action,Action;Dark Humor;Gore,38,641,1101,411,411,50000-100000,8.99
261,Dead Mountaineer's Hotel,10/28/11,1,Electronic Paradise,Akella,windows,0,Single-player,Adventure,Adventure;Point & Click,0,25,63,0,0,0-20000,5.59
262,A Stroke of Fate: Operation Valkyrie,10/28/11,1,SPLine,Akella,windows,0,Single-player,Adventure,Adventure;Point & Click,0,15,10,0,0,0-20000,4.99
263,PT Boats: Knights of the Sea,10/28/11,1,Studio4,Akella,windows,0,Single-player;Multi-player,Simulation,Simulation;Naval,0,12,12,0,0,0-20000,4.99
264,PT Boats: South Gambit,10/28/11,1,studio4,Akella,windows,0,Single-player;Multi-player,Simulation,Simulation;Naval,0,5,10,0,0,0-20000,4.99
265,Disciples III: Reincarnation,2/14/14,1,Akella,Kalypso Media Digital,windows,0,Single-player;Multi-player,RPG;Strategy,RPG;Turn-Based Strategy;Strategy,0,618,252,889,889,50000-100000,9.99
266,The Club™,2/20/08,1,Bizarre Creations,SEGA,windows,0,Single-player;Multi-player;Partial Controller Support,Action,Action;Third-Person Shooter;Arcade,0,47,50,0,0,20000-50000,9.99
267,Total War: EMPIRE – Definitive Edition,3/4/09,1,CREATIVE ASSEMBLY;Feral Interactive (Mac);Feral Interactive (Linux),SEGA;Feral Interactive (Mac);Feral Interactive (Linux),windows;mac;linux,0,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Stats,Strategy,Strategy;Historical;Military,30,14928,1719,3176,1385,2000000-5000000,19.99
268,Aliens vs. Predator™,2/16/10,1,Rebellion,SEGA,windows,0,Single-player;Multi-player;Co-op;Steam Achievements;Steam Cloud;Stats;Steam Leaderboards,Action,Action;FPS;Aliens,50,9448,1186,170,168,1000000-2000000,9.99
269,TrackMania Nations Forever,4/16/08,1,Nadeo,Ubisoft,windows,0,Single-player;Multi-player;Includes level editor,Racing,Racing;Free to Play;Multiplayer,0,8252,1244,902,87,2000000-5000000,0
270,Sherlock Holmes - Nemesis,8/7/08,1,Frogwares,Frogwares,windows,0,Single-player,Adventure;RPG,Adventure;Detective;Point & Click,0,114,43,0,0,100000-200000,6.99
271,Dracula Origin,8/7/08,1,Frogwares,Frogwares,windows,0,Single-player,Adventure,Adventure;Point & Click;Vampire,0,94,45,0,0,20000-50000,6.99
272,Sherlock Holmes: The Mystery of the Mummy,8/6/09,1,Frogwares,Frogwares,windows,0,Single-player,Adventure,Adventure;Point & Click;Detective,0,59,130,0,0,100000-200000,0
273,Sherlock Holmes: The Awakened - Remastered Edition,8/6/09,1,Frogwares,Frogwares,windows,0,Single-player,Adventure,Adventure;Point & Click;Lovecraftian,0,178,49,0,0,100000-200000,6.99
274,Sherlock Holmes: The Silver Earring,8/6/09,1,Frogwares,Frogwares,windows,0,Single-player,Adventure,Adventure;Point & Click;Detective,0,98,54,0,0,50000-100000,6.99
275,Sherlock Holmes versus Jack the Ripper,12/23/09,1,Frogwares,Frogwares,windows,0,Single-player,Adventure;RPG,Adventure;Point & Click;Detective,0,300,94,0,0,100000-200000,6.99
276,Shadowgrounds Survivor,11/14/07,1,Frozenbyte,Frozenbyte,windows;mac,0,Single-player;Shared/Split Screen;Steam Trading Cards;Includes level editor,Action,Action;Sci-fi;Isometric,0,328,239,355,374,200000-500000,6.99
277,Gumboy Tournament,5/19/08,1,"CINEMAX, s.r.o.","CINEMAX, s.r.o.",windows,0,Single-player;Multi-player,Casual;Indie;Racing,Indie;Casual;Racing,0,351,142,46,49,50000-100000,1.79
278,Space Trader: Merchant Marine,10/23/08,1,Meridian4,Meridian4,windows,0,Single-player;Multi-player;Co-op;Steam Achievements,Action;Indie;Strategy,Action;Space;FPS,40,299,310,15,15,200000-500000,3.99
279,Pacific Storm,6/24/08,1,Buka Entertainment;Lesta Studio,Buka Entertainment,windows,0,Single-player;Multi-player;Steam Trading Cards,Simulation;Strategy,Strategy;Simulation;World War II,0,20,9,0,0,50000-100000,5.59
